"DateTime","2021 All-Star Game"
"2021-04-20 21:07:39",7277
"2021-04-20 22:07:26",7277
"2021-04-21 04:07:05",7277
"2021-04-21 05:07:05",7268
"2021-04-21 06:07:11",7276
"2021-04-21 07:07:14",7223
"2021-04-21 08:07:24",7195
"2021-04-21 09:07:38",7147
"2021-04-21 10:07:59",7134
"2021-04-21 11:08:29",7139
"2021-04-21 12:08:34",7104
"2021-04-21 14:08:30",7138
"2021-04-21 15:08:48",7100
"2021-04-21 16:08:14",7043
"2021-04-21 17:08:25",7062
"2021-04-21 18:26:57",7106
"2021-04-21 19:08:56",7394
"2021-04-21 20:09:44",7512
"2021-04-21 21:07:39",7560
"2021-04-21 22:07:34",7626
"2021-04-21 23:07:25",7536
"2021-04-22 00:07:12",7604
"2021-04-22 01:06:57",7662
"2021-04-22 02:06:56",7703
"2021-04-22 03:06:48",7720
"2021-04-22 04:06:43",7737
"2021-04-22 05:06:43",7695
"2021-04-22 06:06:51",7692
"2021-04-22 07:06:49",7682
"2021-04-22 08:07:04",7697
"2021-04-22 09:07:16",7706
"2021-04-22 10:07:41",7731
"2021-04-22 11:08:11",7722
"2021-04-22 12:08:23",7680
"2021-04-22 13:08:31",7802
"2021-04-22 14:08:12",7769
"2021-04-22 15:08:05",7779
"2021-04-22 16:08:27",7801
"2021-04-22 17:08:38",7779
"2021-04-22 18:07:23",7779
"2021-04-22 19:08:27",7810
"2021-04-22 20:07:59",7795
"2021-04-22 21:08:07",7690
"2021-04-22 22:07:49",7696
"2021-04-22 23:07:30",7701
"2021-04-23 00:07:14",7642
"2021-04-23 01:06:56",7636
"2021-04-23 02:06:53",7641
"2021-04-23 03:06:57",7619
"2021-04-23 04:07:03",7622
"2021-04-23 05:07:04",7629
"2021-04-23 06:07:04",7629
"2021-04-23 07:07:01",7547
"2021-04-23 08:07:15",7569
"2021-04-23 09:07:40",7563
"2021-04-23 10:08:17",7560
"2021-04-23 11:08:12",7596
"2021-04-23 12:08:21",7596
"2021-04-23 13:08:05",7549
"2021-04-23 14:08:28",7614
"2021-04-23 15:08:48",7576
"2021-04-23 16:08:57",7569
"2021-04-23 17:18:13",7661
"2021-04-23 18:07:45",7653
"2021-04-23 19:07:59",7634
"2021-04-23 20:07:53",7597
"2021-04-23 21:08:45",7830
"2021-04-23 22:07:47",7764
"2021-04-23 23:07:46",7734
"2021-04-24 00:07:19",7728
"2021-04-24 01:07:11",7723
"2021-04-24 02:07:06",7768
"2021-04-24 03:07:22",7738
"2021-04-24 04:06:57",7788
"2021-04-24 05:06:57",7780
"2021-04-24 06:07:09",7794
"2021-04-24 07:06:58",7771
"2021-04-24 08:06:56",7802
"2021-04-24 09:07:04",7688
"2021-04-24 10:07:47",7687
"2021-04-24 11:07:21",7702
"2021-04-24 12:07:20",7675
"2021-04-24 13:07:23",7635
"2021-04-24 14:07:27",7624
"2021-04-24 15:07:42",7598
"2021-04-24 16:08:07",7602
"2021-04-24 17:07:26",7623
"2021-04-24 18:08:02",7547
"2021-04-24 19:07:28",7550
"2021-04-24 20:07:19",7507
"2021-04-24 21:07:24",7526
